Linux 6.11.8-200.fc40.x86_64 (PAPATRAC) 	12/09/2024 	_x86_64_	(16 CPU)

11:08:44 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:10:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:14 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:10:15 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:10:16 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:17 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:10:18 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:10:19 AM     all      0.12      0.00      0.25      0.06      0.00     99.56
11:10:20 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:21 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:10:22 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:10:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:24 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:26 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:27 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:10:28 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:10:29 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:10:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:31 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:34 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:10:35 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:36 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:37 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:10:38 AM     all      0.06      0.00      0.19      0.00      0.00     99.75
11:10:39 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:40 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:41 AM     all      0.00      0.06      0.00      0.00      0.00     99.94
11:10:42 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:43 AM     all      0.06      0.00      0.12      0.00      0.00     99.81
11:10:44 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:46 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:10:47 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:48 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:50 AM     all      0.00      0.00      0.00      0.38      0.00     99.62
11:10:51 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:10:52 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:53 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
