Time,AM or PM,CPU,%user,%nice,%system,%iowait,%steal,%idle
10:51:10,AM,all,16.67,0,82.77,0,0,0.57
10:51:11,AM,all,26.14,0,73.23,0,0,0.63
10:51:12,AM,all,22.97,0,75.72,0,0,1.31
10:51:13,AM,all,27.23,0,72.33,0,0,0.44
10:51:14,AM,all,32.96,0,66.73,0,0,0.31
10:51:15,AM,all,31.16,0,68.71,0,0,0.13
10:51:16,AM,all,30.84,0,68.16,0,0,1
10:51:17,AM,all,27.66,0,71.53,0,0,0.81
10:51:18,AM,all,26.1,0,73.09,0,0,0.81
10:51:19,AM,all,33.81,0,65.69,0,0,0.5
10:51:20,AM,all,23.53,0,76.16,0,0,0.31
10:51:21,AM,all,21.74,0,78.07,0,0,0.19
10:51:22,AM,all,17.17,0,82.08,0,0,0.75
10:51:23,AM,all,18.3,0,81.07,0,0,0.62
10:51:24,AM,all,23.99,0,75.2,0,0,0.81
10:51:25,AM,all,22.79,0,76.21,0,0,1
10:51:26,AM,all,28.36,0,71.39,0,0,0.25
10:51:27,AM,all,33.54,0,65.71,0,0,0.75
10:51:28,AM,all,25.67,0,73.95,0,0,0.38
10:51:29,AM,all,28.12,0,71.5,0,0,0.38
10:51:30,AM,all,32.38,0,67.44,0,0,0.19
10:51:31,AM,all,18.24,0,80.88,0,0,0.88
10:51:32,AM,all,24.4,0,74.97,0,0,0.63
10:51:33,AM,all,23.81,0,74.87,0.06,0,1.26
10:51:34,AM,all,20.07,0,79.24,0.12,0,0.56
10:51:35,AM,all,21.89,0,77.67,0,0,0.44
10:51:36,AM,all,23.39,0,76.24,0,0,0.38
10:51:37,AM,all,21.52,0,77.28,0,0,1.2
10:51:38,AM,all,19.52,0,79.35,0,0,1.13
10:51:39,AM,all,22.1,0,77.52,0,0,0.37
10:51:40,AM,all,27.8,0,71.63,0,0,0.56
10:51:41,AM,all,22.42,0,76.33,0,0,1.25
10:51:42,AM,all,27.38,0,71.88,0,0,0.75
10:51:43,AM,all,26.75,0,73,0,0,0.25
10:51:44,AM,all,24.05,0,75.45,0,0,0.5
10:51:45,AM,all,19.36,0,80.32,0,0,0.31
10:51:46,AM,all,20.5,0,78.88,0,0,0.62
10:51:47,AM,all,20.24,0,79.07,0,0,0.69
10:51:48,AM,all,33.88,0,66.06,0,0,0.06
10:51:49,AM,all,25.47,0,73.03,0,0,1.5
10:51:50,AM,all,22.69,0,77,0,0,0.31
10:51:51,AM,all,21.49,0,77.94,0,0,0.56
10:51:52,AM,all,24.83,0,74.17,0,0,1
10:51:53,AM,all,29.83,0,69.48,0,0,0.69
10:51:54,AM,all,22.75,0,76.49,0,0,0.75
10:51:55,AM,all,22.36,0,76.89,0,0,0.75
10:51:56,AM,all,28.84,0,70.41,0,0,0.75
10:51:57,AM,all,24.88,0,74.31,0,0,0.81
10:51:58,AM,all,32.31,0,67.5,0,0,0.19
10:51:59,AM,all,22.35,0,76.71,0,0,0.94
10:52:00,AM,all,21.29,0,77.9,0,0,0.81
10:52:01,AM,all,23.97,0,75.97,0,0,0.06
10:52:02,AM,all,26.83,0,72.48,0,0,0.69
10:52:03,AM,all,24.3,0,75.08,0,0,0.62
10:52:04,AM,all,27.35,0,72.47,0,0,0.19
10:52:05,AM,all,33.83,0,65.98,0,0,0.19
10:52:06,AM,all,32.5,0,67.31,0,0,0.19
10:52:07,AM,all,37.72,0,61.97,0,0,0.31
10:52:08,AM,all,32.71,0,66.6,0,0,0.69
10:52:09,AM,all,24.42,0,74.83,0,0,0.75
10:52:10,AM,all,15.53,0,84.22,0,0,0.25
10:52:11,AM,all,28.74,0,71.2,0,0,0.06
10:52:12,AM,all,23.75,0,75.56,0,0,0.69
10:52:13,AM,all,28,0,71.25,0,0,0.75
10:52:14,AM,all,31.64,0,67.6,0,0,0.75
10:52:15,AM,all,27.08,0,72.6,0,0,0.31
10:52:16,AM,all,23.71,0,75.16,0,0,1.13
10:52:17,AM,all,24.58,0,74.92,0,0,0.5
10:52:18,AM,all,31.27,0,68.29,0,0,0.44
10:52:19,AM,all,31.68,0,68.07,0,0,0.25
10:52:20,AM,all,27.08,0,71.79,0,0,1.13
10:52:21,AM,all,27.65,0,71.29,0,0,1.07
10:52:22,AM,all,28.7,0,71.18,0,0,0.12
10:52:23,AM,all,33.9,0,65.98,0,0,0.13
10:52:24,AM,all,24.48,0,74.58,0,0,0.94
10:52:25,AM,all,14.94,0,84.56,0,0,0.5
10:52:26,AM,all,19.57,0,79.8,0,0,0.63
10:52:27,AM,all,28.88,0,71,0,0,0.12
10:52:28,AM,all,34.23,0,65.58,0,0,0.19
10:52:29,AM,all,33.77,0,66.04,0,0,0.19
10:52:30,AM,all,29.88,0,69.75,0,0,0.38
10:52:31,AM,all,34.35,0,65.46,0,0,0.19
10:52:32,AM,all,26.74,0,72.89,0,0,0.38
10:52:33,AM,all,28.79,0,70.96,0,0,0.25
10:52:34,AM,all,18.73,0,80.46,0,0,0.81
10:52:35,AM,all,23.65,0,75.97,0,0,0.38
10:52:36,AM,all,22.88,0,76.74,0,0,0.38
10:52:37,AM,all,27.33,0,72.36,0,0,0.31
10:52:38,AM,all,27.14,0,72.42,0,0,0.44
10:52:39,AM,all,26.53,0,72.72,0,0,0.75
10:52:40,AM,all,24.62,0,74.44,0,0,0.94
10:52:41,AM,all,23.59,0,75.28,0,0,1.13
10:52:42,AM,all,21.88,0,77.31,0,0,0.81
10:52:43,AM,all,23.89,0,75.24,0,0,0.88
10:52:44,AM,all,34.25,0,65.38,0,0,0.38
10:52:45,AM,all,27.75,0,71.19,0,0,1.06
10:52:46,AM,all,24.11,0,75.2,0,0,0.69
10:52:47,AM,all,30.75,0,68.82,0,0,0.43
10:52:48,AM,all,31.58,0,67.79,0,0,0.63
10:52:49,AM,all,34.84,0,64.72,0,0,0.44
10:52:50,AM,all,22.71,0,76.48,0,0,0.81
10:52:51,AM,all,27.14,0,72.36,0,0,0.5
10:52:52,AM,all,24.47,0,75.03,0,0,0.5
10:52:53,AM,all,23.84,0,75.78,0,0,0.38
10:52:54,AM,all,22.28,0,76.72,0,0,1
10:52:55,AM,all,20.95,0,77.42,0,0,1.63
10:52:56,AM,all,27.02,0,72.55,0,0,0.44
10:52:57,AM,all,17.94,0,80.88,0,0,1.19
10:52:58,AM,all,23.31,0,76.19,0,0,0.5
10:52:59,AM,all,21.85,0,77.58,0,0,0.56
10:53:00,AM,all,23.47,0,76.28,0,0,0.25
10:53:01,AM,all,30.6,0,68.52,0,0,0.88
10:53:02,AM,all,24.22,0,75.03,0.06,0,0.69
10:53:03,AM,all,24.38,0,75,0,0,0.62
10:53:04,AM,all,24.62,0,74.81,0,0,0.56
10:53:05,AM,all,23.78,0,75.47,0,0,0.75
10:53:06,AM,all,20.61,0,78.64,0,0,0.75
10:53:07,AM,all,22.73,0,76.77,0,0,0.5
10:53:08,AM,all,26.11,0,73.7,0,0,0.19
10:53:09,AM,all,25.87,0,73.94,0,0,0.19
10:53:10,AM,all,16.89,0,82.24,0,0,0.88
10:53:11,AM,all,24.92,0,74.14,0,0,0.94
10:53:12,AM,all,21.44,0,78.12,0,0,0.44
10:53:13,AM,all,26.31,0,73.44,0,0,0.25
10:53:14,AM,all,23.95,0,75.86,0,0,0.19
10:53:15,AM,all,20.44,0,78.37,0,0,1.19
10:53:16,AM,all,21.52,0,77.35,0,0,1.12
10:53:17,AM,all,27.8,0,71.51,0,0,0.69
10:53:18,AM,all,26.61,0,72.58,0,0,0.81
10:53:19,AM,all,22.34,0,76.41,0,0,1.25
10:53:20,AM,all,20.09,0,79.22,0,0,0.69
10:53:21,AM,all,25.55,0,73.02,0,0,1.44
10:53:22,AM,all,18.5,0,80.88,0,0,0.62
10:53:23,AM,all,29.94,0,69.94,0,0,0.12
10:53:24,AM,all,24.02,0,75.05,0,0,0.94
10:53:25,AM,all,15.73,0,83.27,0,0,1
10:53:26,AM,all,21.51,0,78.05,0,0,0.44
10:53:27,AM,all,20.68,0,78.95,0,0,0.38
10:53:28,AM,all,25.83,0,73.86,0,0,0.31
10:53:29,AM,all,23.7,0,75.73,0,0,0.56
10:53:30,AM,all,24.94,0,73.56,0,0,1.51
10:53:31,AM,all,23.11,0,75.64,0,0,1.25
10:53:32,AM,all,25.7,0,73.61,0,0,0.69
10:53:33,AM,all,33.08,0,66.35,0,0,0.56
10:53:34,AM,all,26.33,0,72.74,0,0,0.94
10:53:35,AM,all,29.27,0,70.54,0,0,0.19
10:53:36,AM,all,23.95,0,74.98,0,0,1.06
10:53:37,AM,all,28.38,0,70.99,0,0,0.63
10:53:38,AM,all,30.94,0,68.37,0.06,0,0.62
10:53:39,AM,all,30.4,0,69.29,0.06,0,0.25
10:53:40,AM,all,28.97,0,70.22,0,0,0.82
10:53:41,AM,all,23.46,0,75.55,0,0,1
10:53:42,AM,all,22.89,0,76.17,0,0,0.94
10:53:43,AM,all,24.47,0,74.91,0,0,0.63
10:53:44,AM,all,18.74,0,80.45,0,0,0.81
10:53:45,AM,all,22.05,0,77.76,0,0,0.19
10:53:46,AM,all,20.21,0,79.54,0,0,0.25
10:53:47,AM,all,30.02,0,69.92,0,0,0.06
10:53:48,AM,all,26.39,0,72.48,0,0,1.13
10:53:49,AM,all,29.67,0,69.95,0,0,0.38
10:53:50,AM,all,26.83,0,72.05,0,0,1.13
10:53:51,AM,all,20.39,0,78.74,0,0,0.88
10:53:52,AM,all,26.66,0,72.58,0,0,0.75
10:53:53,AM,all,26.89,0,72.48,0,0,0.63
10:53:54,AM,all,30.39,0,69.3,0,0,0.31
10:53:55,AM,all,24.73,0,74.45,0,0,0.81
10:53:56,AM,all,23.83,0,75.67,0,0,0.5
10:53:57,AM,all,32.15,0,67.54,0,0,0.31
10:53:58,AM,all,24.03,0,75.22,0,0,0.75
10:53:59,AM,all,21.46,0,77.53,0,0,1
10:54:00,AM,all,21.63,0,77.24,0,0,1.13
10:54:01,AM,all,28.85,0,70.59,0,0,0.56
10:54:02,AM,all,24.22,0,75.03,0,0,0.75
10:54:03,AM,all,32.87,0,67.06,0,0,0.06
10:54:04,AM,all,32.16,0,66.83,0,0,1
10:54:05,AM,all,20.11,0,79.51,0,0,0.38
10:54:06,AM,all,25.02,0,74.55,0,0,0.44
10:54:07,AM,all,27.72,0,72.1,0,0,0.19
10:54:08,AM,all,21.35,0,78.02,0,0,0.63
10:54:09,AM,all,23.23,0,76.02,0,0,0.75
10:54:10,AM,all,26.61,0,73.2,0,0,0.19
10:54:11,AM,all,28.87,0,70.51,0,0,0.63
10:54:12,AM,all,22.72,0,76.16,0,0,1.13
