11:28:38 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:30:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:10 AM     all      0.06      0.00      0.12      0.00      0.00     99.81
11:30:11 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:12 AM     all      0.06      0.00      0.00      0.12      0.00     99.81
11:30:13 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:30:14 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:30:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:16 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:30:17 AM     all      0.00      0.00      0.12      0.31      0.00     99.56
11:30:18 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:19 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:30:20 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:21 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:30:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:24 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:30:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:26 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:30:27 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:28 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:29 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:30:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:31 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:33 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:30:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:35 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:36 AM     all      0.00      0.00      0.31      0.00      0.00     99.69
11:30:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:38 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:39 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:30:40 AM     all      0.06      0.00      0.06      0.00      0.00     99.87
11:30:41 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:30:42 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:30:43 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:30:44 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:30:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:46 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:47 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:30:48 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:30:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:51 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:30:52 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:53 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:30:54 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:56 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:30:57 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:58 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
11:30:59 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:31:00 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:31:01 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:02 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:31:03 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:31:04 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:06 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:31:07 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:31:08 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:10 AM     all      0.12      0.00      0.06      0.00      0.00     99.81
11:31:11 AM     all      0.00      0.00      0.12      0.06      0.00     99.81
11:31:12 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:31:13 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:31:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:15 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:31:16 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:31:17 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:31:18 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:31:19 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:20 AM     all      0.00      0.00      0.44      0.00      0.00     99.56
11:31:21 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
